,PLAYER,TEAM,GP,MPG,PTS,FGM,FGA,FG%,RPG,APG,SPG,BPG,VALUE
337,"Quarterman, Tim",HOU,2.0,11.5,6.5,5.0,8.0,62.5,1.0,1.5,1.0,0.0,10.0
369,"York, Gabe",LAL,1.0,10.0,8.0,2.0,5.0,40.0,1.0,1.0,0.0,0.0,10.0
331,"McCallum, Ray",HOU,2.0,12.5,8.0,4.0,6.0,66.7,1.5,0.5,0.0,0.0,10.0
191,"Williams-Goss, Nigel",UTA,2.0,17.0,4.5,3.0,12.0,25.0,2.0,1.0,2.0,0.5,10.0
283,"Felix, Carrick",DAL,3.0,14.7,5.0,5.0,16.0,31.3,3.7,0.3,1.0,0.0,10.0
461,"Brown, Markel",POR,2.0,11.0,7.0,6.0,9.0,66.7,2.5,0.5,0.0,0.0,10.0
170,"Jean-Charles, Livio",SAS,3.0,12.3,5.3,8.0,15.0,53.3,2.3,1.0,1.0,0.3,9.9
370,"Zubac, Ivica",LAL,3.0,18.7,6.7,6.0,16.0,37.5,2.0,0.7,0.0,0.3,9.7
497,"Ledbetter, Jeff",SAS,3.0,16.0,5.7,6.0,13.0,46.2,1.0,1.3,1.7,0.0,9.7
345,"Hicks, Isaiah",LAC,3.0,10.0,6.3,7.0,11.0,63.6,2.0,0.0,0.0,1.3,9.600000000000001
217,"Kaba, Alpha",ATL,3.0,12.3,4.0,5.0,15.0,33.3,5.3,0.0,0.3,0.0,9.600000000000001
18,"Murray Jr., Lamond",MIA,4.0,19.8,5.0,8.0,30.0,26.7,3.0,0.3,1.0,0.3,9.600000000000001
546,"Simmons, Kobi",MEM,3.0,16.3,5.3,7.0,24.0,29.2,2.0,2.0,0.3,0.0,9.600000000000001
350,"Nelson, Luke",LAC,2.0,12.0,4.0,2.0,6.0,33.3,3.5,1.0,0.5,0.5,9.5
521,"Butterfield, Spencer",UTA,2.0,18.0,5.5,3.0,8.0,37.5,2.0,1.5,0.5,0.0,9.5
189,"Walker, Devondrick",UTA,2.0,20.0,8.5,7.0,20.0,35.0,0.5,0.0,0.5,0.0,9.5
429,"Wiley, Jacob",BKN,2.0,16.5,3.0,1.0,3.0,33.3,4.5,1.0,0.5,0.5,9.5
152,"Briscoe, Isaiah",PHI,2.0,13.5,5.0,5.0,9.0,55.6,1.0,2.0,1.5,0.0,9.5
468,"Johnson, Nick",POR,3.0,10.7,4.7,5.0,9.0,55.6,2.0,1.7,1.0,0.0,9.4
264,"O'Neale, Royce",NOP,3.0,18.0,4.0,5.0,15.0,33.3,3.3,1.0,0.7,0.3,9.3
307,"Alford, Bryce",GSW,3.0,11.7,5.3,4.0,14.0,28.6,2.0,1.0,1.0,0.0,9.3
104,"Corbin, Tyrell",CHA,3.0,15.3,6.0,8.0,18.0,44.4,1.0,2.3,0.0,0.0,9.3
490,"Blossomgame, Jaron",SAS,3.0,22.7,4.0,5.0,9.0,55.6,4.0,0.3,1.0,0.0,9.3
503,"Caupain, Troy",TOR,3.0,14.3,4.3,4.0,14.0,28.6,2.3,1.7,1.0,0.0,9.299999999999999
244,"Jones, Roosevelt",CLE,3.0,14.0,1.7,2.0,6.0,33.3,5.7,1.0,0.7,0.0,9.1
17,"Mika, Eric",MIA,3.0,13.7,5.3,4.0,11.0,36.4,2.7,0.7,0.0,0.3,9.0
341,"Bell, James",LAC,3.0,16.3,5.0,6.0,15.0,40.0,2.7,1.3,0.0,0.0,9.0
172,"Lalanne, Cady",SAS,2.0,9.0,6.5,6.0,9.0,66.7,2.0,0.0,0.5,0.0,9.0
329,"Jones, Matt",HOU,1.0,13.0,7.0,1.0,4.0,25.0,2.0,0.0,0.0,0.0,9.0
231,"Lucas, Landen",BOS,3.0,9.3,3.0,3.0,4.0,75.0,5.0,0.7,0.0,0.3,9.0
100,"Tobey, Mike",DET,3.0,13.7,4.3,5.0,11.0,45.5,3.3,0.3,0.3,0.7,8.899999999999999
169,"Hanlan, Olivier",SAS,3.0,19.3,5.0,5.0,14.0,35.7,1.7,1.7,0.3,0.0,8.700000000000001
190,"Wallace, Tyrone",UTA,3.0,18.0,3.7,4.0,12.0,33.3,3.3,1.7,0.0,0.0,8.7
379,"Odum, Jake",MIA,2.0,16.0,5.0,3.0,7.0,42.9,0.0,3.0,0.5,0.0,8.5
425,"Poirier, Vincent",BKN,2.0,12.0,0.0,0.0,2.0,0.0,6.0,0.5,0.5,1.5,8.5
314,"Ennis, Dylan",GSW,3.0,14.0,6.0,5.0,15.0,33.3,0.7,1.0,0.7,0.0,8.4
67,"Moore, Ben",IND,5.0,15.4,3.8,7.0,12.0,58.3,3.0,0.8,0.4,0.4,8.4
220,"Magette, Josh",ATL,3.0,18.0,2.3,2.0,10.0,20.0,2.7,2.3,1.0,0.0,8.3
241,"Cassell Jr., Sam",CLE,3.0,14.0,6.3,7.0,24.0,29.2,1.0,1.0,0.0,0.0,8.3
16,"Irvin, Zak",MIA,5.0,25.0,3.8,9.0,31.0,29.0,2.6,1.2,0.6,0.0,8.200000000000001
330,"Long, Shawn",HOU,3.0,9.7,4.3,6.0,11.0,54.5,3.0,0.3,0.3,0.3,8.2
456,"Obekpa, Chris",PHX,1.0,11.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,8.0
420,"Ibeh, Prince",BKN,2.0,11.5,2.5,1.0,4.0,25.0,4.0,0.0,0.5,1.0,8.0
95,"Kennedy, Markus",DET,1.0,10.0,2.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,8.0
483,"Montero, Luis",SAC,2.0,13.5,2.5,2.0,5.0,40.0,4.5,0.0,1.0,0.0,8.0
82,"Morin, Yannis",OKC,5.0,13.4,2.2,3.0,13.0,23.1,4.0,0.4,0.6,0.8,8.0
301,"Moore, Dallas",DEN,1.0,10.0,5.0,2.0,5.0,40.0,1.0,0.0,2.0,0.0,8.0
320,"Munford, Xavier",GSW,2.0,15.5,3.0,2.0,8.0,25.0,3.0,1.5,0.5,0.0,8.0
291,"Webster, Corey",DAL,3.0,16.7,4.7,5.0,12.0,41.7,1.3,0.7,1.3,0.0,8.0
222,"Shepard, Winston",ATL,1.0,14.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,1.0,8.0
164,"Bentil, Ben",SAS,1.0,10.0,5.0,2.0,6.0,33.3,3.0,0.0,0.0,0.0,8.0
163,"Trimble, Melo",PHI,1.0,10.0,3.0,1.0,2.0,50.0,3.0,2.0,0.0,0.0,8.0
140,"Lucas, Landen",BOS,2.0,10.5,1.5,1.0,3.0,33.3,3.5,1.5,1.0,0.5,8.0
303,"Radicevic, Nikola",DEN,3.0,15.7,3.3,4.0,7.0,57.1,1.7,2.3,0.7,0.0,8.0
280,"Adams, Josh",DAL,2.0,17.5,5.5,4.0,8.0,50.0,1.0,0.5,1.0,0.0,8.0
292,"Yanyuhang, Ding",DAL,3.0,11.0,5.0,6.0,14.0,42.9,2.7,0.3,0.0,0.0,8.0
69,"Palo, Bubu",IND,3.0,13.0,4.3,3.0,6.0,50.0,2.3,1.3,0.0,0.0,7.8999999999999995
518,"Watson, Paul",TOR,3.0,11.3,4.3,4.0,9.0,44.4,2.3,1.0,0.3,0.0,7.8999999999999995
102,"Willis, Derek",DET,4.0,11.0,3.5,5.0,14.0,35.7,2.0,1.3,1.0,0.0,7.8
19,"Odum, Jake",MIA,4.0,14.8,1.8,1.0,16.0,6.3,2.0,2.5,1.5,0.0,7.8
60,"Hamilton, Isaac",IND,3.0,14.3,5.3,6.0,16.0,37.5,1.0,0.7,0.7,0.0,7.7
134,"Allen, Kadeem",BOS,3.0,16.7,2.0,1.0,7.0,14.3,3.0,1.7,1.0,0.0,7.7
27,"Barry, Canyon",NYK,5.0,13.4,3.6,6.0,16.0,37.5,1.8,1.6,0.4,0.2,7.6000000000000005
173,"Ledbetter, Jeff",SAS,2.0,10.0,3.0,2.0,4.0,50.0,2.5,2.0,0.0,0.0,7.5
