,Unnamed: 0,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT,name,AST/TOV
14,14,30.0,SAC,NBA,SF,30.0,30.0,33.8,6.7,14.7,0.455,1.4,3.8,0.3720000000000001,5.3,11.0,0.483,0.502,3.9,4.6,0.855,1.2,5.2,6.3,2.8,1.5,0.9,2.5,2.6,18.7,23.0,7.6,30.6,rudy_gay,1.1199999999999999
5,5,26.0,MEM,NBA,SF,64.0,28.0,23.5,2.3,5.0,0.455,0.8,2.1,0.3720000000000001,1.5,2.9,0.516,0.534,1.3,1.7,0.782,1.1,3.0,4.0,1.0,0.7,0.3,0.9,2.6,6.7,8.9,4.0,12.9,james_ennis,1.1111111111111112
1,1,20.0,PHO,NBA,SG,78.0,78.0,35.0,7.8,18.3,0.423,1.9,5.2,0.363,5.9,13.2,0.447,0.475,4.7,5.7,0.8320000000000001,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,22.1,26.4,3.8,30.2,devin_booker,1.096774193548387
15,15,30.0,,NBA,PF,69.0,11.0,22.2,3.2,8.1,0.394,0.8,2.8,0.275,2.4,5.3,0.458,0.442,2.1,2.4,0.863,0.6,2.5,3.1,1.2,0.5,0.2,1.1,1.5,9.2,11.1,3.2,14.3,jeff_green,1.0909090909090908
8,8,26.0,NOP,NBA,C,17.0,17.0,33.8,8.4,18.5,0.452,2.1,5.6,0.375,6.2,12.8,0.486,0.51,5.5,7.1,0.777,2.2,10.2,12.4,3.9,1.5,1.1,3.6,4.4,24.4,30.8,12.8,43.6,demarcus_cousins,1.0833333333333333
12,12,32.0,LAC,NBA,SG,78.0,78.0,28.2,5.1,11.4,0.445,2.6,6.0,0.429,2.5,5.4,0.462,0.5579999999999999,2.3,2.6,0.8909999999999999,0.1,2.1,2.2,1.4,0.7,0.2,1.3,1.6,15.0,16.599999999999998,3.0,19.6,jj_redick,1.0769230769230769
6,6,26.0,POR,NBA,SF,61.0,25.0,29.1,3.0,7.6,0.393,1.1,3.5,0.33,1.9,4.2,0.445,0.468,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7,11.7,7.8,19.5,al-farouq_aminu,1.0666666666666667
6,6,29.0,BRK,NBA,PF,71.0,43.0,24.7,4.3,8.3,0.516,0.4,1.1,0.321,3.9,7.2,0.546,0.537,1.0,1.5,0.6729999999999999,2.0,6.0,8.0,1.9,1.1,0.4,1.8,2.1,10.0,14.0,7.5,21.5,trevor_booker,1.0555555555555556
1,1,21.0,MIN,NBA,C,82.0,82.0,37.0,9.8,18.0,0.542,1.2,3.4,0.3670000000000001,8.5,14.7,0.5820000000000001,0.5760000000000001,4.3,5.2,0.8320000000000001,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1,31.5,10.7,42.2,karl_anthony_towns,1.0384615384615385
4,4,22.0,POR,NBA,C,20.0,19.0,29.2,6.0,11.8,0.508,0.0,0.1,0.0,6.0,11.8,0.511,0.508,3.2,4.9,0.66,3.3,7.1,10.4,3.2,1.3,1.9,3.1,3.7,15.2,21.8,10.3,32.099999999999994,jusuf_nurkic,1.032258064516129
1,1,23.0,PHI,NBA,C,57.0,17.0,20.9,4.0,7.2,0.5579999999999999,0.5,1.4,0.35100000000000003,3.6,5.9,0.606,0.591,1.3,1.8,0.6990000000000001,1.6,3.8,5.5,1.0,0.7,1.0,1.0,2.4,9.8,12.4,5.5,17.9,richaun_holmes,1.0
7,7,27.0,WAS,NBA,PF,76.0,76.0,31.2,5.3,11.7,0.457,0.9,2.6,0.362,4.4,9.1,0.483,0.4970000000000001,2.4,2.8,0.8370000000000001,1.4,5.1,6.5,1.7,1.1,0.6,1.7,3.3,14.0,17.1,6.799999999999999,23.9,markieff_morris,1.0
11,11,32.0,WAS,NBA,C,82.0,82.0,31.2,4.8,8.2,0.579,0.0,0.0,0.0,4.8,8.2,0.58,0.579,1.3,1.9,0.648,2.9,7.5,10.4,1.5,0.5,0.7,1.5,2.6,10.8,15.200000000000005,8.7,23.9,marcin_gortat,1.0
1,1,20.0,IND,NBA,C,81.0,81.0,31.4,5.5,10.7,0.511,0.5,1.4,0.348,5.0,9.3,0.536,0.534,3.0,3.7,0.809,1.7,5.6,7.3,1.3,0.9,2.1,1.3,3.2,14.5,17.5,8.6,26.1,myles_turner,1.0
1,1,21.0,WAS,NBA,SF,79.0,5.0,20.3,2.4,5.6,0.421,0.7,2.4,0.287,1.7,3.2,0.52,0.482,0.9,1.3,0.758,0.8,2.5,3.3,0.6,0.7,0.2,0.6,2.5,6.3,7.700000000000001,3.4000000000000004,11.1,kelly_oubre,1.0
4,4,23.0,POR,NBA,SF,77.0,69.0,28.9,4.1,8.1,0.503,0.9,2.5,0.35100000000000003,3.2,5.6,0.5720000000000001,0.5579999999999999,1.0,1.6,0.621,1.6,2.8,4.4,1.1,1.1,0.9,1.1,2.8,10.0,12.7,4.8,17.5,maurice_harkless,1.0
2,2,22.0,HOU,NBA,SF,6.0,3.0,23.2,3.7,7.3,0.5,1.3,3.5,0.381,2.3,3.8,0.609,0.591,1.0,1.2,0.857,1.5,2.5,4.0,1.0,0.5,0.2,1.0,3.0,9.7,12.2,3.2,15.4,troy_williams,1.0
2,2,25.0,CHI,NBA,PF,70.0,15.0,24.0,3.7,8.9,0.413,1.8,5.4,0.342,1.8,3.5,0.52,0.516,1.4,1.8,0.773,0.9,4.6,5.5,1.1,0.8,0.8,1.1,1.8,10.6,12.6,6.199999999999998,18.8,nikola_mirotic,1.0
2,2,21.0,MIN,NBA,SF,82.0,82.0,37.2,8.6,19.1,0.452,1.3,3.5,0.35600000000000004,7.4,15.6,0.473,0.484,5.0,6.6,0.76,1.2,2.8,4.0,2.3,1.0,0.4,2.3,2.2,23.6,27.1,4.2,31.3,andrew_wiggins,1.0
12,12,35.0,MEM,NBA,SG,71.0,66.0,27.0,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,12.8,5.200000000000001,18.0,tony_allen,1.0
0,0,20.0,OKC,NBA,PF,81.0,66.0,20.1,2.4,5.9,0.399,0.6,2.0,0.321,1.7,4.0,0.438,0.452,0.5,0.8,0.657,0.6,3.0,3.6,1.0,0.5,0.4,1.0,2.5,5.9,7.5,3.9,11.4,domantas_sabonis,1.0
0,0,22.0,PHI,NBA,PF,81.0,36.0,26.3,4.7,11.4,0.411,1.3,4.2,0.311,3.4,7.2,0.469,0.468,2.1,2.7,0.782,1.4,5.0,6.3,2.2,0.7,0.4,2.3,2.0,12.8,16.3,6.1000000000000005,22.4,dario_saric,0.9565217391304349
8,8,28.0,CLE,NBA,PF,60.0,60.0,31.4,6.2,14.5,0.4270000000000001,2.4,6.5,0.373,3.8,8.0,0.471,0.51,4.3,4.9,0.871,2.5,8.6,11.1,1.9,0.9,0.4,2.0,2.1,19.0,23.3,9.9,33.2,kevin_love,0.95
8,8,28.0,BRK,NBA,C,75.0,75.0,29.6,7.4,15.6,0.474,1.8,5.2,0.34600000000000003,5.6,10.5,0.536,0.531,3.9,4.9,0.81,1.6,3.8,5.4,2.3,0.5,1.7,2.5,2.6,20.5,24.2,6.0,30.2,brook_lopez,0.9199999999999999
8,8,25.0,UTA,NBA,PF,50.0,39.0,23.7,4.1,8.3,0.487,0.1,0.2,0.3,4.0,8.1,0.491,0.49,1.3,2.2,0.615,1.8,4.3,6.1,1.1,0.9,0.8,1.2,2.1,9.5,12.3,6.0,18.3,derrick_favors,0.9166666666666667
4,4,26.0,MEM,NBA,PF,77.0,75.0,27.3,3.2,6.5,0.5,0.7,1.9,0.379,2.5,4.6,0.5489999999999999,0.555,1.7,2.2,0.802,2.2,4.9,7.1,1.1,0.6,0.4,1.2,3.2,8.9,12.1,5.9,18.0,jamychal_green,0.9166666666666667
2,2,25.0,BRK,NBA,SG,52.0,11.0,21.9,3.0,7.0,0.425,1.6,4.3,0.385,1.3,2.7,0.489,0.5429999999999999,0.7,0.9,0.7140000000000001,0.3,2.5,2.8,1.0,0.6,0.2,1.1,2.3,8.2,9.4,3.3000000000000003,12.7,joe_harris,0.9090909090909091
8,8,28.0,CHI,NBA,C,81.0,81.0,28.0,4.7,9.6,0.493,0.0,0.0,0.0,4.7,9.5,0.494,0.493,0.9,1.3,0.721,3.0,3.4,6.4,1.0,0.2,1.4,1.1,1.9,10.4,14.3,5.0,19.3,robin_lopez,0.9090909090909091
16,16,37.0,TOR,NBA,C,8.0,8.0,23.9,1.8,3.9,0.452,0.0,0.0,,1.8,3.9,0.452,0.452,0.9,2.5,0.35,1.9,2.6,4.5,0.9,0.4,0.1,1.0,3.3,4.4,7.100000000000001,3.1,10.2,anthony_davis,0.9
5,5,27.0,DEN,NBA,PF,61.0,34.0,21.2,3.7,6.8,0.5479999999999999,0.0,0.1,0.0,3.7,6.7,0.556,0.5479999999999999,2.1,3.1,0.693,3.0,4.6,7.6,0.9,0.7,0.7,1.0,2.0,9.6,13.4,6.0,19.4,kenneth_faried,0.9
4,4,22.0,DAL,NBA,C,22.0,12.0,22.0,3.5,6.1,0.575,0.0,0.0,,3.5,6.1,0.575,0.575,1.5,2.2,0.708,2.1,4.7,6.8,0.9,1.0,1.1,1.0,2.5,8.5,11.4,6.800000000000002,18.200000000000006,nerlens_noel,0.9
8,8,28.0,LAC,NBA,C,81.0,81.0,31.7,5.1,7.1,0.7140000000000001,0.0,0.0,0.0,5.1,7.1,0.7170000000000001,0.7140000000000001,2.5,5.2,0.482,3.7,10.1,13.8,1.2,0.6,1.7,1.4,2.6,12.7,17.4,12.4,29.8,deandre_jordan,0.8571428571428572
2,2,23.0,SAC,NBA,SG,25.0,18.0,29.1,5.7,11.8,0.48,2.4,5.5,0.428,3.3,6.3,0.525,0.579,1.4,1.7,0.8140000000000001,0.6,3.5,4.1,1.8,0.8,0.1,2.1,1.4,15.1,17.2,4.4,21.6,buddy_hield,0.8571428571428571
10,10,30.0,LAC,NBA,SF,80.0,76.0,22.3,2.4,4.7,0.505,0.5,1.4,0.391,1.9,3.4,0.552,0.562,0.7,1.1,0.6779999999999999,0.6,1.6,2.1,0.5,1.0,0.4,0.6,1.5,6.1,7.1,3.0,10.1,luc_mbah_a_moute,0.8333333333333334
1,1,21.0,NYK,NBA,PF,66.0,65.0,32.8,6.7,14.9,0.45,1.7,4.8,0.35700000000000004,5.0,10.2,0.493,0.507,3.0,3.8,0.7859999999999999,1.7,5.5,7.2,1.5,0.7,2.0,1.8,3.7,18.1,21.0,8.2,29.2,kristaps_porzingis,0.8333333333333333
2,2,22.0,HOU,NBA,C,65.0,59.0,23.9,5.6,8.7,0.643,0.0,0.0,,5.6,8.7,0.643,0.643,1.4,2.7,0.531,2.7,5.4,8.1,1.0,0.5,1.2,1.3,2.8,12.6,16.0,7.1000000000000005,23.1,capela_capela,0.7692307692307692
3,3,26.0,PHI,NBA,SF,67.0,67.0,31.6,4.4,10.9,0.399,2.0,6.1,0.333,2.3,4.8,0.484,0.4920000000000001,2.1,2.6,0.8220000000000001,1.4,5.1,6.5,1.5,1.9,1.0,2.0,3.0,12.9,15.3,8.0,23.3,robert_covington,0.75
5,5,24.0,ORL,NBA,C,81.0,27.0,22.1,2.2,4.2,0.528,0.0,0.0,,2.2,4.2,0.528,0.528,1.5,2.9,0.534,1.9,5.1,7.0,0.9,0.3,1.1,1.2,2.5,6.0,8.5,6.5,15.0,bismack_biyombo,0.75
3,3,24.0,UTA,NBA,C,81.0,81.0,33.9,5.1,7.7,0.6609999999999999,0.0,0.0,0.0,5.1,7.7,0.662,0.6609999999999999,3.8,5.9,0.653,3.9,8.9,12.8,1.2,0.6,2.6,1.8,3.0,14.0,18.5,12.1,30.6,rudy_gobert,0.6666666666666666
1,1,21.0,PHI,NBA,C,50.0,33.0,22.7,4.8,9.4,0.514,0.0,0.0,,4.8,9.4,0.514,0.514,2.1,3.2,0.6709999999999999,1.6,3.2,4.8,1.2,0.4,1.0,1.8,2.4,11.8,14.0,4.6,18.6,jahlil_okafor,0.6666666666666666
10,10,30.0,LAL,NBA,C,54.0,52.0,20.4,3.1,6.1,0.515,0.0,0.0,0.0,3.1,6.1,0.517,0.515,1.2,1.4,0.8079999999999999,1.9,3.0,4.9,0.8,0.3,0.6,1.3,2.5,7.4,9.6,3.9,13.5,timofey_mozgov,0.6153846153846154
3,3,23.0,OKC,NBA,C,80.0,80.0,29.9,4.7,8.2,0.5710000000000001,0.0,0.0,0.0,4.7,8.2,0.5720000000000001,0.5710000000000001,2.0,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,11.3,15.2,6.300000000000002,21.5,steven_adams,0.6111111111111112
12,12,31.0,ATL,NBA,C,74.0,74.0,29.7,5.2,8.3,0.633,0.0,0.0,0.0,5.2,8.3,0.635,0.633,3.1,5.7,0.5329999999999999,4.0,8.7,12.7,1.4,0.9,1.2,2.3,2.7,13.5,18.0,10.8,28.8,dwight_howard,0.6086956521739131
4,4,23.0,DET,NBA,C,81.0,81.0,29.7,6.0,11.2,0.53,0.0,0.1,0.28600000000000003,5.9,11.2,0.532,0.531,1.7,4.4,0.386,4.3,9.5,13.8,1.1,1.5,1.1,1.9,2.9,13.6,18.200000000000006,12.1,30.300000000000004,andre_drummond,0.5789473684210527
0,0,22.0,PHI,NBA,C,31.0,31.0,25.4,6.5,13.8,0.466,1.2,3.2,0.3670000000000001,5.3,10.7,0.495,0.508,6.2,7.9,0.7829999999999999,2.0,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2,22.6,9.3,31.9,joel_embiid,0.5526315789473685
0,0,19.0,PHO,NBA,PF,82.0,75.0,21.3,3.5,7.7,0.449,0.9,2.7,0.321,2.6,5.0,0.52,0.506,1.4,2.2,0.624,1.2,3.1,4.2,0.7,0.8,0.9,1.3,3.2,9.2,10.499999999999998,4.800000000000002,15.3,marquese_chriss,0.5384615384615384
4,4,24.0,TOR,NBA,C,80.0,80.0,25.8,4.9,8.8,0.557,0.0,0.0,0.5,4.9,8.8,0.557,0.5579999999999999,2.2,2.7,0.8109999999999999,2.8,6.7,9.5,0.7,0.5,0.8,1.3,2.7,12.0,14.9,8.0,22.9,jonas_valanciunas,0.5384615384615384
4,4,27.0,WAS,NBA,SF,26.0,0.0,23.1,4.1,9.0,0.457,1.7,4.4,0.391,2.4,4.6,0.521,0.5529999999999999,2.7,2.9,0.934,0.5,2.5,3.1,0.8,0.4,0.2,1.5,1.8,12.7,13.3,3.1,16.4,bojan_bogdanovic,0.5333333333333333
7,7,24.0,OKC,NBA,C,72.0,0.0,21.3,5.6,10.2,0.545,0.1,0.5,0.132,5.5,9.7,0.568,0.5489999999999999,3.1,4.0,0.7859999999999999,2.7,4.0,6.7,0.9,0.4,0.5,1.7,2.1,14.3,17.1,4.9,22.0,enes_kanter,0.5294117647058824
3,3,24.0,CLE,NBA,C,1.0,0.0,24.0,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,1.0,0.0,4.0,6.0,10.0,1.0,0.0,6.0,2.0,3.0,6.0,10.0,12.0,22.0,edy_tavares,0.5
9,9,31.0,OKC,NBA,PF,23.0,16.0,21.2,3.9,7.8,0.4970000000000001,0.0,0.0,1.0,3.8,7.7,0.494,0.5,1.2,1.7,0.718,1.7,2.8,4.5,0.6,0.6,0.7,1.2,1.7,9.0,10.7,4.1,14.8,taj_gibson,0.5
3,3,23.0,PHO,NBA,C,77.0,34.0,20.3,3.0,6.0,0.4970000000000001,0.0,0.2,0.25,2.9,5.9,0.503,0.5,1.9,2.7,0.721,2.0,4.6,6.6,0.6,0.5,1.3,1.3,3.1,8.0,9.9,6.4,16.299999999999994,alex_len,0.4615384615384615
15,15,34.0,PHO,NBA,C,47.0,46.0,27.6,3.3,4.9,0.6709999999999999,0.0,0.0,,3.3,4.9,0.6709999999999999,0.6709999999999999,1.9,2.6,0.7340000000000001,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,8.4,11.5,9.4,20.9,tyson_chandler,0.4285714285714286
9,9,27.0,TOR,NBA,PF,23.0,23.0,31.0,5.6,12.1,0.459,1.8,4.5,0.398,3.8,7.7,0.494,0.532,1.3,1.5,0.882,1.3,5.5,6.8,0.7,0.3,1.4,1.7,3.3,14.2,15.2,7.199999999999998,22.4,serge_ibaka,0.4117647058823529
6,6,27.0,,NBA,C,77.0,77.0,32.6,7.0,12.6,0.557,0.0,0.0,,7.0,12.6,0.557,0.557,2.9,4.6,0.628,3.8,10.3,14.1,0.7,0.7,2.1,2.0,2.9,17.0,20.2,13.1,33.3,hassan_whiteside,0.35
7,7,28.0,,NBA,SG,1.0,0.0,25.0,3.0,6.0,0.5,0.0,1.0,0.0,3.0,5.0,0.6,0.5,2.0,3.0,0.667,3.0,4.0,7.0,0.0,2.0,0.0,0.0,3.0,8.0,11.0,6.0,17.0,deandre_liggins,
3,3,24.0,NOP,NBA,SF,2.0,0.0,20.5,2.5,4.0,0.625,0.5,1.5,0.333,2.0,2.5,0.8,0.688,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.5,0.0,2.5,5.5,5.5,1.5,7.0,axel_toupane,
