,Unnamed: 0,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT,name,AST/TOV
7,7,26.0,NOP,NBA,PG,67.0,61.0,32.7,6.0,13.3,0.454,1.5,4.2,0.35600000000000004,4.6,9.1,0.498,0.51,1.8,2.5,0.708,0.7,3.3,3.9,7.3,1.5,0.7,2.9,2.0,15.4,27.8,5.5,33.3,jrue_holiday,2.5172413793103448
14,14,31.0,CLE,NBA,SG,41.0,35.0,29.0,3.0,8.7,0.34600000000000003,2.3,6.6,0.35100000000000003,0.7,2.1,0.329,0.479,0.2,0.4,0.667,0.4,2.3,2.8,1.5,1.0,0.3,0.6,1.9,8.6,11.4,3.6,15.0,jr_smith,2.5
3,3,23.0,WAS,NBA,SF,80.0,80.0,32.6,5.2,10.0,0.516,1.9,4.3,0.434,3.3,5.8,0.5760000000000001,0.608,1.2,1.5,0.8320000000000001,1.5,5.0,6.4,1.5,1.5,0.5,0.6,2.4,13.4,17.299999999999994,7.0,24.3,otto_porter,2.5
8,8,30.0,UTA,NBA,PG,49.0,49.0,31.5,5.9,12.4,0.477,1.9,4.8,0.403,4.0,7.6,0.523,0.5539999999999999,3.2,4.0,0.8009999999999999,0.5,2.9,3.4,4.2,1.0,0.2,1.7,2.3,16.9,24.1,4.1,28.2,george_hill,2.4705882352941178
16,16,31.0,HOU,NBA,SF,80.0,80.0,34.7,4.1,10.0,0.409,2.4,6.9,0.344,1.7,3.0,0.556,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7,15.9,7.199999999999998,23.1,trevor_ariza,2.4444444444444446
12,12,30.0,TOR,NBA,PG,60.0,60.0,37.4,7.1,15.3,0.464,3.2,7.8,0.412,3.9,7.5,0.518,0.569,5.0,6.1,0.8190000000000001,0.8,4.0,4.8,7.0,1.5,0.3,2.9,2.8,22.4,34.300000000000004,5.8,40.1,kyle_lowry,2.413793103448276
13,13,32.0,LAC,NBA,PG,80.0,11.0,21.3,2.8,6.4,0.43,0.6,1.8,0.319,2.2,4.6,0.473,0.475,0.6,0.8,0.7809999999999999,0.4,2.3,2.7,2.4,0.8,0.3,1.0,1.6,6.7,10.9,3.3999999999999995,14.3,raymond_felton,2.4
7,7,26.0,DET,NBA,PG,52.0,50.0,27.4,5.5,13.0,0.419,1.3,3.5,0.359,4.2,9.5,0.442,0.468,2.3,2.6,0.868,0.4,1.8,2.2,5.2,0.7,0.1,2.2,2.5,14.5,23.1,2.6,25.700000000000006,reggie_jackson,2.3636363636363633
8,8,28.0,CHO,NBA,SG,77.0,77.0,34.0,5.1,12.7,0.403,1.8,5.3,0.333,3.4,7.4,0.453,0.472,3.2,3.7,0.856,0.6,5.6,6.2,5.9,1.1,0.4,2.5,1.4,15.1,25.0,7.1,32.1,nicolas_batum,2.3600000000000003
5,5,25.0,TOR,NBA,PG,80.0,22.0,25.0,3.7,8.3,0.452,0.6,1.7,0.35600000000000004,3.1,6.6,0.477,0.489,1.2,1.5,0.77,0.6,2.3,2.9,3.3,0.8,0.2,1.4,1.8,9.3,15.1,3.3,18.4,cory_joseph,2.357142857142857
11,11,26.0,IND,NBA,SG,6.0,0.0,22.0,3.0,7.3,0.409,0.8,1.3,0.625,2.2,6.0,0.361,0.466,0.3,0.5,0.667,0.2,3.8,4.0,4.2,0.5,0.3,1.8,2.0,7.2,14.0,4.6,18.6,lance_stephenson,2.3333333333333335
0,0,22.0,MEM,NBA,PG,72.0,18.0,20.5,1.6,5.0,0.325,0.6,2.2,0.276,1.0,2.8,0.363,0.385,2.1,2.7,0.763,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,5.9,10.6,2.6,13.2,andrew_harrison,2.3333333333333335
